,name,price,total_sales_volume,month_sales_volume,month_revenue,total_revenue,rating_product,total_rating_product,inventory,monthly_event,favorite_product,discount,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,experience(unit: month),follower,store_location,special_shop,product_url,rating_rate,segmentation
1,điện thoại vivo y20 (2021) 4gb + 64gb - hàng chính hãng,3391500.0,49000.0,1800.0,6104700000.0,166183500000.0,4.95,978.0,1711.0,1,0,0.15,VIVO OFFICIAL STORE,vivo_official_store_vn,1,67000.0,28.0,1.0,0,36.0,170500.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Vivo-Y20-(2021)-4GB-64GB-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.69897724.9570657944?position=1,0.019959183673469386,Low_end
2,apple iphone 11 64gb,11513600.0,35000.0,1100.0,12664960000.0,402976000000.0,4.83,1184.0,0.0,1,0,0.36,Apple Flagship Store,apple_flagship_store,1,185000.0,129.0,0.99,0,36.0,311300.0,TP. Hồ Chí Minh,0,https://shopee.vn/Apple-iPhone-11-64GB-i.88201679.5600084939?position=2,0.03382857142857143,Mid_to_High_end
3,"[hàng chính hãng 100%] nokia 1280, điện thoại nokia1280 zin chính hãng đủ phụ kiện pin sài cả tuần",239000.0,767.0,763.0,182357000.0,183313000.0,4.83,6.0,19190.0,0,0,0.0,dienthoaicodocla,nokiae72zinchinhhang,0,25.0,29.0,0.17,0,18.0,2600.0,Hưng Yên,0,https://shopee.vn/-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-100-Nokia-1280-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia1280-Zin-Ch%C3%ADnh-H%C3%A3ng-%C4%90%E1%BB%A7-Ph%E1%BB%A5-Ki%E1%BB%87n-Pin-S%C3%A0i-C%E1%BA%A3-Tu%E1%BA%A7n-i.241243428.12508961420?position=3,0.007822685788787484,Ultra_Low_end
4,điện thoại samsung galaxy m12 (3gb/32gb) - hãng phân phối chính thức,3490000.0,26000.0,715.0,2495350000.0,90740000000.0,4.92,763.0,42.0,1,0,0.0,SAMSUNG OFFICIAL SHOP,samsung_official_store,1,397000.0,367.0,0.99,0,36.0,342200.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-M12-(3GB-32GB)-H%C3%A3ng-Ph%C3%A2n-Ph%E1%BB%91i-Ch%C3%ADnh-Th%E1%BB%A9c-i.65589552.6685849255?position=4,0.029346153846153845,Low_end
5,"điện thoại mini - l8star bm10 - ( nokia 3310 ) - 2 sim 2 sóng siêu nhỏ - đổi giọng nói - kết nối bt , nghe nhạc mp3",52500.0,5000.0,677.0,35542500.0,262500000.0,4.81,700.0,47327.0,1,1,0.5,Tomeno Store Công nghệ 4.0,tomeno.store,0,36000.0,270.0,0.83,0,36.0,2600.0,Nam Định,1,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Mini-L8STAR-BM10-(-Nokia-3310-)-2-sim-2-s%C3%B3ng-si%C3%AAu-nh%E1%BB%8F-%C4%91%E1%BB%95i-gi%E1%BB%8Dng-n%C3%B3i-k%E1%BA%BFt-n%E1%BB%91i-BT-Nghe-Nh%E1%BA%A1c-mp3-i.86608834.2106797077?position=5,0.14,Ultra_Low_end
6,"điện thoại nokia 101,nokia 100, nokia 105 zin chính hãng kèm pin sạc",70755.0,92000.0,665.0,47052075.0,6509460000.0,4.65,3078.0,68.0,1,1,0.47,hà bắc Store,thuythuy889,0,225000.0,250.0,0.96,1,72.0,43000.0,Hà Nội,1,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-101-Nokia-100-Nokia-105-Zin-Ch%C3%ADnh-H%C3%A3ng-K%C3%A8m-Pin-S%E1%BA%A1c-i.1657913.1236186398?position=6,0.03345652173913043,Ultra_Low_end
7,điện thoại oppo a16 4gb - hàng chính hãng,3696000.0,11000.0,599.0,2213904000.0,40656000000.0,4.96,334.0,223.0,1,0,0.04,oppo_authorized_store_vn,oppo_authorized_store_vn,1,547.0,28.0,1.0,0,4.0,141100.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-OPPO-A16-4GB-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.458675969.9272220112?position=7,0.030363636363636363,Low_end
8,điện thoại nghe gọi nokia 105 zin chính hãng bh 12 tháng kèm pin sạc,76380.0,42000.0,564.0,43078320.0,3207960000.0,4.64,1399.0,1046.0,1,1,0.24,hà bắc Store,thuythuy889,0,225000.0,250.0,0.96,1,72.0,43000.0,Hà Nội,1,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nghe-G%E1%BB%8Di-Nokia-105-Zin-Ch%C3%ADnh-H%C3%A3ng-BH-12-Th%C3%A1ng-K%C3%A8m-Pin-S%E1%BA%A1c-i.1657913.753117458?position=8,0.03330952380952381,Ultra_Low_end
9,điện thoại samsung galaxy a12 (4gb/128gb) - hàng chính hãng,3431700.0,965.0,534.0,1832527800.0,3311590500.0,4.89,353.0,51.0,1,0,0.07,SAMSUNG OFFICIAL SHOP,samsung_official_store,1,397000.0,367.0,0.99,0,36.0,342200.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-A12-(4GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.8407312736?position=9,0.36580310880829014,Low_end
10,điện thoại samsung galaxy a32 (128gb/8gb) - hàng chính hãng,7990000.0,781.0,490.0,3915100000.0,6240190000.0,4.87,332.0,30.0,1,0,0.0,SAMSUNG OFFICIAL SHOP,samsung_official_store,1,397000.0,367.0,0.99,0,36.0,342200.0,TP. Hồ Chí Minh,0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-A32-(128GB-8GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.9342556615?position=10,0.42509603072983354,Mid_to_High_end
